Characteristic,Category,Not Disrupted (%),N_Not_Disrupted,Disrupted (%),N_Disrupted,p-value
Residence Type,Rural,67.1,346340,62.1,81473,<0.001***
Residence Type,Urban,32.9,115782,37.9,34467,<0.001***
Main Water Source,Bottled Water,2.4,7671,1.3,1168,<0.001***
Main Water Source,Community RO Plant,0.8,3749,0.8,861,<0.001***
Main Water Source,Other Source,0.2,931,0.2,214,<0.001***
Main Water Source,Piped Water,47.6,227026,70.4,82856,<0.001***
Main Water Source,Protected Spring,0.2,2503,0.3,752,<0.001***
Main Water Source,Protected Well/Spring,3.1,14209,2.7,2879,<0.001***
Main Water Source,Surface Water,0.3,2369,0.4,661,<0.001***
Main Water Source,Tanker/Cart,0.9,4059,1.2,1484,<0.001***
Main Water Source,Tube well/Borehole,43.1,188825,21.8,23362,<0.001***
Main Water Source,Unprotected Spring,0.1,1821,0.1,503,<0.001***
Main Water Source,Unprotected Well/Spring,1.3,8959,0.9,1200,<0.001***
Water On Premises,0,22.5,103290,19.8,21518,<0.001***
Water On Premises,1,77.5,358832,80.2,94422,<0.001***
Wealth Quintile,Middle,19.3,90891,22.0,26469,<0.001***
Wealth Quintile,Poorer,20.3,103187,19.2,24941,<0.001***
Wealth Quintile,Poorest,21.7,109113,16.1,20955,<0.001***
Wealth Quintile,Richer,18.6,81027,22.3,23942,<0.001***
Wealth Quintile,Richest,20.0,77904,20.5,19633,<0.001***
Caste/Tribe,Don't know,0.9,3153,1.0,822,<0.001***
Caste/Tribe,General,22.2,92516,20.9,23082,<0.001***
Caste/Tribe,OBC,41.4,173117,42.3,41465,<0.001***
Caste/Tribe,SC,21.7,90409,22.1,22707,<0.001***
Caste/Tribe,ST,8.8,81741,9.6,23254,<0.001***
Caste/Tribe,Unknown Caste,5.0,21186,4.1,4610,<0.001***
Religion,Buddhist/Neo-Buddhist,0.6,5537,1.3,2594,<0.001***
Religion,Christian,2.5,30044,3.0,10571,<0.001***
Religion,Hindu,81.6,355484,82.1,84417,<0.001***
Religion,Jain,0.3,675,0.3,187,<0.001***
Religion,Jewish,0.0,9,0.0,2,<0.001***
Religion,Muslim,13.1,53950,11.7,13799,<0.001***
Religion,Other Religion,0.3,4708,0.3,2134,<0.001***
Religion,Sikh,1.7,11421,1.3,2109,<0.001***
Religion,Unknown Religion,0.0,294,0.0,127,<0.001***
Household Head Sex,Female,17.6,79171,17.7,20110,0.31
Household Head Sex,Male,82.4,382942,82.3,95826,0.31
Household Head Sex,Unknown Sex,0.0,9,0.0,4,0.31
HH Head Education,Higher,11.2,45100,10.6,11025,<0.001***
HH Head Education,No education,28.4,136181,27.3,33254,<0.001***
HH Head Education,Primary,18.3,84548,19.3,21776,<0.001***
HH Head Education,Secondary,42.0,195869,42.7,49791,<0.001***
HH Head Education,Unknown Education,0.1,424,0.1,94,<0.001***
House Type,Katcha,58.9,247760,65.3,67537,<0.001***
House Type,Pucca,4.7,26375,4.1,7055,<0.001***
House Type,Semi-pucca,35.1,181847,29.5,39733,<0.001***
House Type,Unknown House Type,1.3,6140,1.1,1615,<0.001***
