Water Source,Overall Disruption Rate (%),Overall N,Urban Disruption Rate (%),Urban N,Rural Disruption Rate (%),Rural N,Urban/Rural Ratio
Piped Water,25.5,309882,24.4,108269,26.4,201613,0.9
Tanker/Cart,24.2,5543,20.3,1733,26.5,3810,0.8
Surface Water,23.3,3030,29.9,510,20.8,2520,1.4
Protected Spring,22.9,3255,29.6,564,20.2,2691,1.5
Unprotected Spring,19.8,2324,31.1,175,18.5,2149,1.7
Other Source,18.1,1145,15.5,369,19.8,776,0.8
Community RO Plant,17.7,4610,15.8,2233,19.8,2377,0.8
Protected Well/Spring,16.8,17088,18.0,5503,16.2,11585,1.1
Unprotected Well/Spring,13.3,10159,20.4,957,12.3,9202,1.7
Bottled Water,10.7,8839,9.4,5526,13.4,3313,0.7
Tube well/Borehole,10.5,212187,10.5,24410,10.5,187777,1.0
