district_code,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology,n_households,total_weighted_pop
851.0,Botad,Gujarat,72.17560914764249,78.61313280232505,49.46617040806651,35.474282549680176,65.2350116105516,5.6566150869950045,High Coverage High Disruption (Reliability Gap),856,317.18878400000006
478.0,Porbandar,Gujarat,69.70302412686071,87.6961428777473,46.517341929710796,32.58703291943876,67.94906460244368,6.010633435681972,High Coverage High Disruption (Reliability Gap),861,293.77137300000004
853.0,Devbhumi Dwarka,Gujarat,64.55297807415191,89.8318536205496,42.537624402367804,38.16883020878124,62.75099493167965,5.950182385296414,High Coverage High Disruption (Reliability Gap),869,332.622208
802.0,Kra Daadi,Arunachal Pradesh,59.531399102878765,99.50268401029709,39.05662593992302,49.076720500042214,55.47725062292553,6.136784295616695,High Coverage High Disruption (Reliability Gap),515,14.197411999999998
499.0,Jalgaon,Maharashtra,59.14855842095221,82.54377492133963,37.50861473403287,40.015482129780146,60.6741305608871,5.537819085427105,High Coverage High Disruption (Reliability Gap),801,1945.336334
805.0,Longding,Arunachal Pradesh,54.491012427731874,78.9073783884541,37.290825755618386,51.48272400622162,49.60904324215266,5.1608944230091875,High Coverage High Disruption (Reliability Gap),676,12.438231000000002
501.0,Akola,Maharashtra,56.89982431148244,82.21326433307817,35.233769254684,36.81130697066446,60.556663607876224,5.5802264289503185,High Coverage High Disruption (Reliability Gap),885,966.0130459999999
245.0,Tawang,Arunachal Pradesh,56.925398754590574,99.88293322663085,34.93665770892373,43.12961375896061,56.19626028584505,6.236445731094774,High Coverage High Disruption (Reliability Gap),903,20.548102
582.0,Chikkaballapura,Karnataka,55.66811650174469,58.38947347731295,33.54182175975377,39.084156844430446,59.17693002778517,4.827676507848728,High Coverage High Disruption (Reliability Gap),655,495.54142
863.0,Surendranagar,Gujarat,54.772625073180706,85.05126731020849,32.93133544217909,40.41200378829516,60.843346811788635,5.715797277004919,High Coverage High Disruption (Reliability Gap),809,701.655399
808.0,Tirap,Arunachal Pradesh,51.53273898352722,93.04740994436112,32.35181334251507,43.85124864604661,55.1362241403235,6.078742605215181,High Coverage High Disruption (Reliability Gap),936,25.731648
856.0,Junagadh,Gujarat,54.173366341409455,87.63092202231945,31.950717890188987,36.43739121376817,63.93814725470729,5.885250489358882,High Coverage High Disruption (Reliability Gap),824,692.4365999999999
579.0,Gulbarga,Karnataka,51.61111477632612,67.30475308155522,31.85870783094475,40.70991619788683,52.99751533278848,4.7929211985218965,High Coverage High Disruption (Reliability Gap),827,1134.69166
243.0,South District,Sikkim,54.22170206673395,88.08217721518152,31.730738543931846,34.62195692266487,56.35741064660259,5.742125063096207,High Coverage High Disruption (Reliability Gap),874,85.05661800000001
