hv024,state_name,n_districts,n_clusters,n_households,total_weighted_pop,disruption_rate_pct,piped_water_coverage_pct,tube_well_coverage_pct,mean_wvi_score,mean_cci_score,mean_idi_score,mean_wealth_score,pct_urban,piped_disruption_rate,tube_well_disruption_rate,reliability_gap,paradox_ratio,paradox_category,expected_disruption_pct
11.0,Sikkim,4,168,3477,360.39587700000004,40.109105632193454,83.54655955178977,0.10511468753567343,31.14355201431977,57.43738829060299,5.7565650646996716,371531.13371972344,42.61133015126029,42.13587237254792,47.576875054444095,18.510082443184103,0.89,No Paradox (Tube Wells Worse),21.59902318900935
17.0,Meghalaya,11,459,7551,1139.326134,37.344311545477105,64.51257265726865,6.124286358202681,46.718622509771215,51.20363296726488,4.727260654586195,-226981.22999076138,26.271013897413155,41.78771010298383,24.29065205391656,17.10977036012158,1.72,Moderate Paradox,20.234541185355525
29.0,Karnataka,30,1259,23317,29686.233734,36.63715798526294,74.74511165283543,11.790301957338889,33.69295634290486,60.672187525728674,5.565502695573433,355163.73201744945,42.53509084090404,36.901712929395394,41.73594069523905,14.217945662161561,0.88,No Paradox (Tube Wells Worse),22.419212323101377
27.0,Maharashtra,36,1508,28416,57547.09285,33.11102047094982,80.7906509390248,12.398953371282248,33.600054403262334,62.763115251850444,5.664491696229969,520851.4971482467,50.719484480439746,35.74523046260498,22.223767571453138,13.997624869384893,1.61,Moderate Paradox,19.113395601564925
35.0,Andaman & Nicobar Islands,3,123,2150,194.557446,43.52619123094369,93.07026522130641,0.5259901489455202,26.499829392432492,63.0308723531766,6.166921408908709,397296.13729601994,37.006364176881725,45.244824370719364,8.046978901708403,13.580963142191333,5.62,Strong Paradox,29.945228088752355
12.0,Arunachal Pradesh,20,855,17663,525.36442,37.45957501271213,78.37035290665477,15.388936312055543,44.92315531306143,56.57762413444766,5.167034802242603,-208518.25386262362,16.252905935274416,41.95220313703194,18.9681671268636,10.379489017812773,2.21,Strong Paradox,27.080085994899356
31.0,Lakshadweep,1,41,869,31.324533000000002,25.50418868175943,30.7162663845619,0.7003073278059724,29.09068625680184,72.70403991894847,3.9601676743273395,902149.0955841863,80.22455434531139,41.386000662874764,34.670963859815465,8.52770091084988,1.19,Weak Paradox,16.97648777090955
36.0,Telangana,31,1293,19148,13434.360301,26.542342032724676,71.14080845582644,15.599012353747947,35.29113645410219,55.2269498622269,5.1468783365035335,327050.769787211,38.71089341420216,30.82004599161309,16.94132722077252,8.277526631859075,1.82,Moderate Paradox,18.2648154008656
24.0,Gujarat,33,1384,27602,28143.62551,26.093759325324395,75.37474238158309,15.733739952681741,37.10737296551562,62.885050700197475,5.406962280106036,418364.25323383784,43.987888634324,29.07277339346383,15.828808031194896,6.293246081163719,1.84,Moderate Paradox,19.800513244160676
14.0,Manipur,9,368,5582,887.1656009999999,30.691489919478972,37.76513760478863,4.158226035637287,34.55106530647396,52.16622482114119,4.172058232226253,-52095.83437457355,40.31714209802867,47.7848262044236,11.395904040056433,6.293049325686088,4.19,Strong Paradox,24.398440593792884
13.0,Nagaland,11,454,7867,653.950098,28.29037346516309,76.29921037185929,5.207925513607003,41.74091074755463,52.56276165059637,5.315570945904193,-162708.222461005,34.70628151813504,32.12221119813147,9.568434124744247,5.9219463566597526,3.36,Strong Paradox,22.368427108503337
33.0,Tamil Nadu,32,1343,26169,44172.024487,26.1321561600537,84.34644212416624,5.337113721590518,31.143962312448295,59.46865165953726,6.16990824505245,422961.64131058974,46.79056896539296,29.10566951126495,9.760079992494457,4.809604973109497,2.98,Strong Paradox,21.322551186944203
23.0,Madhya Pradesh,51,2129,38886,33648.843409,18.950077286443946,50.82486291170937,42.67774037712988,50.21407218303205,51.015874246203005,3.757489996437221,-153157.36674450623,29.290905506617854,24.257454695972548,13.504197800760368,3.728474430130131,1.8,Moderate Paradox,15.221602856313815
1.0,Jammu & Kashmir,18,837,15656,4654.434346,30.451312826402898,83.76747568371437,9.935667293221712,26.73061409811649,64.251202501122,5.554349396552858,538559.6877603761,30.854897893966342,33.205882994818694,13.509985101906707,1.7392918723166204,2.46,Strong Paradox,28.712020954086277
7.0,NCT of Delhi,11,462,8928,8576.609229000002,20.62604238768915,86.55522643959318,2.3123193759303775,10.87479936786074,71.39882903153169,6.640752727595209,1260474.4178449444,97.99908672042866,21.20739999286205,12.134397058083263,1.0289189017343823,1.75,Moderate Paradox,19.597123485954768
