District_Original,District_Mapped,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology
MORBI,MORBI,Morbi,Gujarat,45.952283409980375,71.77926225340863,21.693285159465574,32.044607199640154,68.5702546977826,5.6942173214380905,High Coverage High Disruption (Reliability Gap)
AHMAD>B>D,AHMEDABAD,,,,,,,,,
>NAND,ANAND,Anand,Gujarat,12.324832281287884,70.90366900377074,-9.780119234150767,39.01261720924506,62.30735745062934,5.140960572650101,High Coverage Low Disruption (Success)
DEVBHUMI DW>RKA,DEVBHUMI DWARKA,Devbhumi Dwarka,Gujarat,64.55297807415191,89.8318536205496,42.53762440236781,38.16883020878124,62.75099493167965,5.950182385296414,High Coverage High Disruption (Reliability Gap)
J>MNAGAR,JAMNAGAR,Jamnagar,Gujarat,53.467681390698566,91.22680882030872,29.481257941432805,30.516502584462938,70.17984543710148,6.093859914472113,High Coverage High Disruption (Reliability Gap)
KACHCHH,KACHCHH,Kachchh,Gujarat,28.93744230420616,73.12927455001288,5.914627395122793,36.83448349965625,63.44471645580864,5.629883609877618,High Coverage High Disruption (Reliability Gap)
BH>VNAGAR,BHAVNAGAR,Bhavnagar,Gujarat,44.74861719104476,77.95280686637643,23.488810834893265,37.16452529896467,61.95223467620163,5.5039989673769565,High Coverage High Disruption (Reliability Gap)
BHAR@CH,BHARUCH,Bharuch,Gujarat,27.228249751867317,67.84321359902563,6.566431342933043,42.1221877321384,59.93540260762648,5.209397190835225,High Coverage High Disruption (Reliability Gap)
S@RAT,SURAT,Surat,Gujarat,13.914411417248102,77.04545466926565,-8.521218464569985,26.437132845655388,67.7184047278646,5.876501932570767,High Coverage Low Disruption (Success)
NAVS>RI,NAVSARI,Navsari,Gujarat,18.927180460917455,47.62110583771482,-1.8887981929245612,45.04191325426813,60.02766294714807,4.241490113512105,Low Coverage High Disruption (Traditional Vulnerability)
VALS>D,VALSAD,Valsad,Gujarat,8.66637418553369,34.08150601370624,-11.985193625218692,42.039080305252305,62.59145469757032,4.0574210173504595,Low Coverage Low Disruption (Resilient)
AGAR MALWA,AGAR MALWA,Agar Malwa,Madhya Pradesh,22.86590503655168,50.35419952404361,4.819167002055579,51.48074560391704,50.192547794585295,3.5527660019524037,Low Coverage High Disruption (Traditional Vulnerability)
DISPUTED (RATLAM & MANDSAUR),RATLAM,Ratlam,Madhya Pradesh,31.836751608041343,73.13458688662588,11.954353298518733,42.97846540250837,58.18217263160323,5.013943330579768,High Coverage High Disruption (Reliability Gap)
>GRA,AGRA,Agra,Unknown State,13.352393288991491,36.51602730031928,-8.79189502562669,31.943697021612223,60.68006209479557,4.000150387392289,Low Coverage Low Disruption (Resilient)
AJMER,AJMER,Ajmer,Unknown State,35.33935592858569,78.53074549669137,11.257560565098055,29.13559084165031,66.22025763971428,5.697763825426069,High Coverage High Disruption (Reliability Gap)
>LAPPUZHA,ALAPPUZHA,Alappuzha,Kerala,34.813287863475765,51.716251644250974,9.103879265874152,21.61991991467748,71.07078193166156,4.716795586836634,Low Coverage High Disruption (Traditional Vulnerability)
AL|GARH,ALIGARH,Aligarh,Unknown State,7.36691159206348,20.9429249152784,-14.84117891384663,36.14740539806007,61.758678793845,2.8186268702261876,Low Coverage Low Disruption (Resilient)
ALIRAJPUR,ALIRAJPUR,Alirajpur,Madhya Pradesh,21.166571265245583,51.70397766712813,7.068154247622168,65.8320211999106,41.38755588751854,3.4999546704276607,Low Coverage High Disruption (Traditional Vulnerability)
DISPUTED (ALIRAJPUR & D>HOD),ALIRAJPUR,Alirajpur,Madhya Pradesh,21.166571265245583,51.70397766712813,7.068154247622168,65.8320211999106,41.38755588751854,3.4999546704276607,Low Coverage High Disruption (Traditional Vulnerability)
ALMORA,ALMORA,Almora,Uttarakhand,13.326699362692509,95.83048247409084,-8.492551259898937,37.14232653422661,50.545161562324175,6.121666997391927,High Coverage Low Disruption (Success)
ALWAR,ALWAR,Alwar,Unknown State,21.715694318762157,58.9168624694303,-1.243573781490877,37.8107242484463,62.36561561104486,4.248529863873657,High Coverage High Disruption (Reliability Gap)
AMBEDKARNAGAR,AMBEDKAR NAGAR,Ambedkar Nagar,Unknown State,3.1763104762209844,2.8765054020793706,-14.765358049032711,52.286880449076456,50.898791957322295,1.5631763143695687,Low Coverage Low Disruption (Resilient)
AMETHI,AMETHI,Amethi,Unknown State,1.1058175274682165,3.5941975042019583,-16.99913619511568,53.75164003779872,49.412532304692334,1.3620964631104782,Low Coverage Low Disruption (Resilient)
AMROHA,AMROHA,,,,,,,,,
ANANTAPUR,ANANTHAPUR,,,,,,,,,
ANUGUL,ANUGUL,Anugul,Odisha,21.187906088377737,30.168657058543875,2.5534007709253927,47.317083869210286,47.336079513799426,2.331336963669665,Low Coverage High Disruption (Traditional Vulnerability)
ANUPPUR,ANUPPUR,Anuppur,Madhya Pradesh,16.063976213267036,52.114767669143816,1.895159940468208,59.233451840075205,41.65425632514349,3.746611303101471,Low Coverage Low Disruption (Resilient)
ARAVALLI,ARAVALI,Aravali,Gujarat,20.35734782316739,54.23803332041482,1.110525963377242,49.6255966356807,55.13950295252996,3.985445811971883,Low Coverage High Disruption (Traditional Vulnerability)
ASHOKNAGAR,ASHOK NAGAR,,,,,,,,,
AURAIYA,AURAIYA,Auraiya,Unknown State,3.0286635039668894,11.446386743901924,-15.80155170652191,47.07517365427911,51.41244311716125,1.9416750850043016,Low Coverage Low Disruption (Resilient)
AZAMGARH,AZAMGARH,Azamgarh,Unknown State,2.915031173555039,4.29667162985684,-16.250566364461623,50.184336717020024,54.47665240570835,1.6942800331532943,Low Coverage Low Disruption (Resilient)
BUDAUN,BUDAUN,Budaun,Unknown State,9.305072735368896,30.215771167907768,-9.662993952138052,45.87147651819944,51.01826054447678,3.208127119516255,Low Coverage Low Disruption (Resilient)
B>GALKOT,BAGALKOT,Bagalkot,Karnataka,33.37222857357334,82.30349753566895,14.019808518447096,39.52136051782957,51.759306669729526,5.875096188756541,High Coverage High Disruption (Reliability Gap)
B>GESHWAR,BAGESHWAR,Bageshwar,Uttarakhand,13.030879512013088,92.1653502125059,-9.919167845087436,36.39534175697384,53.91485389496846,5.747921774649164,High Coverage Low Disruption (Success)
B>GHPAT,BAGHPAT,Baghpat,Unknown State,5.918771792879887,27.387630253828043,-18.48468429990636,35.5383258040943,65.16331667452332,2.9880899474141884,Low Coverage Low Disruption (Resilient)
BAHRAICH,BAHRAICH,Bahraich,Unknown State,14.082732821097537,4.052189438844237,-1.7984215794879257,56.05423213573689,43.52815695425964,1.808709303861911,Low Coverage Low Disruption (Resilient)
BALAGHAT,BALAGHAT,Balaghat,Madhya Pradesh,16.101980518849107,48.88833078423496,0.110551564144302,57.51007788141898,45.773986646634825,3.513304585382281,Low Coverage Low Disruption (Resilient)
BOLANGIR (BALANGIR),BALANGIR,Balangir,Odisha,13.67930769455178,38.35000962714059,-4.023572762457533,49.87234680724905,42.29762102124909,2.692422035808719,Low Coverage Low Disruption (Resilient)
BALASORE (B>LESHWAR),BALESHWAR,Baleshwar,Odisha,13.100245454791098,28.894993411458103,-5.816325559966733,47.42459042957949,50.172952517180335,2.404442639459996,Low Coverage Low Disruption (Resilient)
BALL>RI,BELLARY,Bellary,Karnataka,43.60263407156678,76.08133071841608,23.39739307479316,39.005531041558214,55.69412010323976,5.785623874471569,High Coverage High Disruption (Reliability Gap)
BALLIA,BALLIA,Ballia,Unknown State,9.560509677627088,7.44656986948972,-10.418226444964994,47.92706509148022,54.40587612854241,2.216815006166396,Low Coverage Low Disruption (Resilient)
B>LOD,BALOD,Balod,Chhattisgarh,11.43448921682818,69.96223044747275,-9.713863182550734,42.92498507158565,55.80868012232559,4.8560461415965275,High Coverage Low Disruption (Success)
BALODA B>Z>R,BALODABAZAR,,,,,,,,,
BALR>MPUR,BALRAMPUR,Balrampur,Chhattisgarh,9.415266021834531,30.919998845030243,-5.847574948009157,58.209270046202526,42.3309877605827,2.4731703093949995,Low Coverage Low Disruption (Resilient)
BALR>MPUR,BALRAMPUR,Balrampur,Unknown State,8.581524790417488,6.2178096672058025,-8.633195640949106,54.02122670569221,47.89063906513401,1.914889324983182,Low Coverage Low Disruption (Resilient)
BALRAMPUR,BALRAMPUR,Balrampur,Chhattisgarh,9.415266021834531,30.919998845030243,-5.847574948009157,58.209270046202526,42.3309877605827,2.4731703093949995,Low Coverage Low Disruption (Resilient)
BALRAMPUR,BALRAMPUR,Balrampur,Unknown State,8.581524790417488,6.2178096672058025,-8.633195640949106,54.02122670569221,47.89063906513401,1.914889324983182,Low Coverage Low Disruption (Resilient)
BANAS K>NTHA,BANASKANTHA,,,,,,,,,
BANDA,BANDA,Banda,Unknown State,6.524161434366691,15.510365304028731,-9.881840300282908,51.54938955688981,41.939466321167814,1.7446084442309202,Low Coverage Low Disruption (Resilient)
B>NSW>RA,BANSWARA,Banswara,Unknown State,11.808953076523904,31.818466662487506,-4.899501893766493,55.49081761087468,45.35528662814543,2.462431424901184,Low Coverage Low Disruption (Resilient)
BARABANKI,BARABANKI,,,,,,,,,
BARAGARH,BARGARH,Bargarh,Odisha,18.381420824077484,36.82967286134243,0.8572910181156566,51.02801873956948,41.39349087057977,2.5421449554331224,Low Coverage High Disruption (Traditional Vulnerability)
B>R>N,BARAN,Baran,Unknown State,8.167991601905292,66.27900948484567,-12.335070130541247,42.91998182638994,55.41470732251451,4.410837317999727,High Coverage Low Disruption (Success)
BAREILLY,BAREILLY,Bareilly,Unknown State,4.18817939899577,23.545424743736337,-17.023817893650104,37.44471400776383,58.93840004845224,3.0917892378288734,Low Coverage Low Disruption (Resilient)
B>RMER,BARMER,Barmer,Unknown State,39.86882813813022,57.33543930754897,17.658726167347716,41.433218360443334,58.565569766757946,4.84310498304587,High Coverage High Disruption (Reliability Gap)
BARWANI,BARWANI,Barwani,Madhya Pradesh,23.799621212094205,63.90648937325939,7.053187989921813,56.546158065206384,50.652565633292895,4.4115047594910015,High Coverage High Disruption (Reliability Gap)
BASTAR,BASTAR,Bastar,Chhattisgarh,24.084453162615898,47.01752106465183,8.361484939205813,54.171959734562314,43.671618098597115,3.408979867406472,Low Coverage High Disruption (Traditional Vulnerability)
BASTI,BASTI,Basti,Unknown State,12.104698331312669,4.378455942697617,-7.887232223307452,49.757632962496665,55.3209661643499,1.7751176036281595,Low Coverage Low Disruption (Resilient)
BELAG>VI,BELGAUM,Belgaum,Karnataka,41.180458190442145,67.88958529291298,19.792949024762944,38.68371575817442,58.434271774097134,5.128053946092279,High Coverage High Disruption (Reliability Gap)
BEMET>RA,BEMETARA,Bemetara,Chhattisgarh,15.496954244248926,53.80441916756828,-4.192012653281598,46.88157134675994,50.18172937239839,3.811187732352635,Low Coverage Low Disruption (Resilient)
BENGAL@RU RURAL,BENGALURU RURAL,,,,,,,,,
BENGAL@RU URBAN,BENGALURU URBAN,,,,,,,,,
BETUL,BETUL,Betul,Madhya Pradesh,26.17388616268605,47.75099226791986,9.374366470737897,55.35299497029387,48.423870379871246,3.427404425719992,Low Coverage High Disruption (Traditional Vulnerability)
BHADOHI,SANT RAVIDAS NAGAR,,,,,,,,,
BHADRAK,BHADRAK,Bhadrak,Odisha,13.793357807702945,14.851338183328169,-4.320099158528322,48.73574199196045,48.48124325080288,1.5369111859141422,Low Coverage Low Disruption (Resilient)
BHARATPUR,BHARATPUR,Bharatpur,Unknown State,17.4759991429507,50.91881819428169,-2.9710853763439076,42.857287301451386,53.61640489835863,3.9524525387108818,Low Coverage High Disruption (Traditional Vulnerability)
BH|LW>RA,BHILWARA,Bhilwara,Unknown State,25.269494551347215,81.26261619670821,3.7308845317718777,39.97550862318569,57.046592310076704,5.243393501429931,High Coverage High Disruption (Reliability Gap)
BHIND,BHIND,Bhind,Madhya Pradesh,17.0184170254351,62.68493352991115,-2.7374209986517997,45.47570938336229,55.92698003477343,4.454631328630766,High Coverage Low Disruption (Success)
BHOPAL,BHOPAL,Bhopal,Madhya Pradesh,28.79817225568378,81.8223250937447,7.0948336735895765,28.022485552603815,66.89228788446307,5.89679241736315,High Coverage High Disruption (Reliability Gap)
B|DAR,BIDAR,Bidar,Karnataka,45.288265865667675,56.52526067866268,26.12120987285235,43.89796335888702,49.433022238127094,4.056613746338615,Low Coverage High Disruption (Traditional Vulnerability)
B|J>PUR,BIJAPUR,Bijapur,Karnataka,41.873109100146,59.78910392554222,22.06946222465208,43.523268698599296,53.257931821012846,4.615274849387488,High Coverage High Disruption (Reliability Gap)
B|J>PUR,BIJAPUR,Bijapur,Chhattisgarh,19.582246954358503,39.24023886550373,6.880270053211714,61.20858465917689,33.90448011656166,2.767997074452921,Low Coverage High Disruption (Traditional Vulnerability)
BIJNOR,BIJNOR,Bijnor,Unknown State,5.375525867264031,29.430632068698387,-17.096115095272705,38.77568442630366,61.13227954219991,3.0207639460471873,Low Coverage Low Disruption (Resilient)
B|K>NER,BIKANER,Bikaner,Unknown State,27.53638625647861,74.68033536762667,3.511819414972063,31.016535538323428,65.96790164796657,5.517162879872095,High Coverage High Disruption (Reliability Gap)
BIL>SPUR,BILASPUR,Bilaspur,Himachal Pradesh,31.338652050252495,67.99347039124774,5.187204992158435,31.16961156570822,64.6016092612162,4.324110835317737,High Coverage High Disruption (Reliability Gap)
BIL>SPUR,BILASPUR,Bilaspur,Chhattisgarh,17.249214077306874,63.03738810521848,-2.239542087159414,40.59599200568515,52.59585912721473,4.60765837740756,High Coverage High Disruption (Reliability Gap)
GAURELA-PENDRA-MARWAHI,KORBA,Korba,Chhattisgarh,12.106404038887783,46.07363872339642,-6.8557224345675145,41.98079610597088,55.35719369680507,3.6449393815835127,Low Coverage Low Disruption (Resilient)
BIL>SPUR,BILASPUR,Bilaspur,Himachal Pradesh,31.338652050252495,67.99347039124774,5.187204992158435,31.16961156570822,64.6016092612162,4.324110835317737,High Coverage High Disruption (Reliability Gap)
BIL>SPUR,BILASPUR,Bilaspur,Chhattisgarh,17.249214077306874,63.03738810521848,-2.239542087159414,40.59599200568515,52.59585912721473,4.60765837740756,High Coverage High Disruption (Reliability Gap)
BISHNUPUR,BISHNUPUR,Bishnupur,Manipur,36.39340887794896,51.309590788682854,17.522799816114937,35.219762626390086,47.00554360725069,4.913752033448227,Low Coverage High Disruption (Traditional Vulnerability)
