,OR,CI_lower,CI_upper,p_value
Intercept,0.1075898426058814,0.10324914847569326,0.11211302371838384,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Middle]",1.0404228915434601,1.0167896253453612,1.0646054663273938,<0.001***
"C(wealth_quintile, Treatment('Poorest'))[T.Poorer]",1.004230886861045,0.9826974238061474,1.0262362042425173,0.70
"C(wealth_quintile, Treatment('Poorest'))[T.Richer]",0.9961103684132816,0.9711834044127443,1.0216771225208787,0.76
"C(wealth_quintile, Treatment('Poorest'))[T.Richest]",0.8544362356883911,0.8294402573931856,0.8801854917819255,<0.001***
"C(is_urban, Treatment(0))[T.1]",1.0464537419410405,1.0285464790645449,1.064672774941935,<0.001***
"C(caste, Treatment('General'))[T.Don't know]",0.9556703009403851,0.8816230488794702,1.03593675920824,0.27
"C(caste, Treatment('General'))[T.OBC]",0.9706810088028177,0.9516689731366306,0.9900728587850911,0.003**
"C(caste, Treatment('General'))[T.SC]",1.0579920997837429,1.0345685915516665,1.081945936060164,<0.001***
"C(caste, Treatment('General'))[T.ST]",1.0507003825586434,1.0240007078498896,1.0780962214634653,<0.001***
"C(caste, Treatment('General'))[T.Unknown Caste]",0.8701756990435211,0.838196433372343,0.9033750527419809,<0.001***
"C(religion, Treatment('Hindu'))[T.Buddhist/Neo-Buddhist]",1.3871971950269106,1.3192934361756554,1.458595946227628,<0.001***
"C(religion, Treatment('Hindu'))[T.Christian]",1.1495158635692087,1.1146000581154514,1.1855254366588173,<0.001***
"C(religion, Treatment('Hindu'))[T.Jain]",0.9591607546159439,0.8123058458664714,1.1325652251266165,0.62
"C(religion, Treatment('Hindu'))[T.Jewish]",0.6627086154034608,0.14159372295892123,3.1017103000913857,0.60
"C(religion, Treatment('Hindu'))[T.Muslim]",1.135530306637009,1.1105401210505135,1.1610828396468975,<0.001***
"C(religion, Treatment('Hindu'))[T.Other Religion]",1.6457829511105704,1.5552876042077353,1.741543824330794,<0.001***
"C(religion, Treatment('Hindu'))[T.Sikh]",0.7356731379667925,0.6993809302477612,0.7738486174253816,<0.001***
"C(religion, Treatment('Hindu'))[T.Unknown Religion]",1.3938076444013487,1.1280190145353268,1.7222225197967143,0.002**
"C(is_female_headed, Treatment(0))[T.1]",0.9752984531883128,0.957330489486797,0.9936036543675068,0.008**
"C(hh_head_education, Treatment('No education'))[T.Higher]",0.9283869315846444,0.9028785483421096,0.9546159849736157,<0.001***
"C(hh_head_education, Treatment('No education'))[T.Primary]",0.9938388618583162,0.9739573397104657,1.0141262281913268,0.55
"C(hh_head_education, Treatment('No education'))[T.Secondary]",0.9706059123343636,0.9536221229793971,0.9878921790479221,<0.001***
"C(hh_head_education, Treatment('No education'))[T.Unknown Education]",0.9078661598563501,0.7214464630997849,1.1424561715514516,0.41
"C(region, Treatment('North'))[T.Central]",0.931435829446946,0.9044085766200561,0.9592707619158164,<0.001***
"C(region, Treatment('North'))[T.East]",0.6789307502003502,0.6588392254585349,0.699634972776254,<0.001***
"C(region, Treatment('North'))[T.Northeast]",1.05726618649674,1.0250706138197097,1.0904729625835916,<0.001***
"C(region, Treatment('North'))[T.South]",1.4992064123268,1.4622090082679868,1.5371399396753425,<0.001***
"C(region, Treatment('North'))[T.Unknown Region]",0.6792810665488545,0.6603999688466002,0.6987019823420524,<0.001***
"C(region, Treatment('North'))[T.West]",1.7528564172243444,1.7082247285442542,1.7986542215806394,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Bottled Water]",0.9781089630925334,0.9163759673994467,1.0440006915468663,0.51
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Community RO Plant]",1.3330675275526485,1.234206509282045,1.4398473996455234,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Other Source]",1.576738738024074,1.3561405288167452,1.8332208168388842,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Piped Water]",2.364758487380856,2.322160061904998,2.408138351605399,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Protected Spring]",1.8656759075056573,1.715141531681528,2.029422369846369,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Protected Well/Spring]",1.1928263483633716,1.1406719605062499,1.2473653658659383,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Surface Water]",1.740221152844943,1.5929488696026333,1.901109143298755,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Tanker/Cart]",2.7152320725795063,2.5504318173188483,2.8906811614806296,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Unprotected Spring]",1.7172403620516148,1.5519073493997373,1.900187187205327,<0.001***
"C(water_source_category, Treatment('Tube well/Borehole'))[T.Unprotected Well/Spring]",0.9149303024626797,0.8592572171530621,0.9742105642568444,0.006**
"C(water_on_premises, Treatment(0))[T.1]",1.1630739077568926,1.1356538751254186,1.1911559891040706,<0.001***
hh_size,1.0211676190719994,1.0171743121704588,1.0251766032274963,<0.001***
children_under5_count,1.0081199968061485,0.998184962903854,1.0181539150858963,0.11
time_to_water_minutes,1.0124011254673047,1.0113870244951833,1.0134162432616283,<0.001***
