Water Source,% Has Electricity,% Has Refrigerator,% Has Vehicle,% Has Mobile Phone,Mean Wealth Score (hv271),Inferred Coping Score (0-4),N
Community RO Plant,99.6,62.3,67.4,95.9,816769.4,3.3,4610
Bottled Water,99.5,68.2,64.4,97.3,890175.8,3.3,8839
Protected Well/Spring,98.6,63.6,62.5,96.3,630996.9,3.2,17088
Piped Water,98.2,48.1,56.5,93.7,424665.9,3.0,309882
Tanker/Cart,98.0,45.9,58.4,95.8,344704.6,3.0,5543
Other Source,97.6,49.3,54.3,95.1,296436.9,3.0,1145
Protected Spring,97.6,38.4,50.5,94.1,164260.7,2.8,3255
Surface Water,96.8,35.0,48.4,92.8,-12777.7,2.7,3030
Tube well/Borehole,94.0,20.7,41.6,92.4,-371268.5,2.5,212187
Unprotected Well/Spring,94.9,21.5,46.3,90.7,-421739.9,2.5,10159
Unprotected Spring,92.6,20.6,37.2,91.1,-428032.8,2.4,2324
