district_code,idi_slope,idi_slope_se,n_obs,n_piped
1.0,0.0234,0.0041,821,686
2.0,0.0108,0.0051,888,827
5.0,0.0309,0.0082,614,527
6.0,0.0072,0.0037,591,432
7.0,0.02,0.004,841,684
10.0,0.0088,0.0059,883,789
11.0,0.0117,0.0051,849,804
12.0,0.0049,0.0043,875,748
13.0,0.041,0.0112,903,883
14.0,0.0141,0.0057,890,825
15.0,0.0042,0.0035,862,767
16.0,-0.0151,0.0087,618,600
17.0,0.0158,0.0064,564,507
18.0,0.0101,0.0038,726,636
19.0,0.0285,0.0064,665,561
20.0,0.003,0.0036,724,551
21.0,0.0298,0.0047,886,600
22.0,0.0389,0.0049,855,645
23.0,0.0146,0.0069,724,666
24.0,0.0119,0.0037,859,689
26.0,0.0131,0.0068,813,776
27.0,0.0347,0.0079,804,750
28.0,0.0389,0.006,792,677
29.0,0.0225,0.0065,816,735
30.0,0.0377,0.0045,705,481
31.0,0.0246,0.0066,709,606
32.0,0.019,0.0058,826,721
33.0,0.0552,0.0163,834,812
36.0,0.0338,0.0079,847,671
37.0,-0.0055,0.0059,866,767
38.0,0.0127,0.0059,882,765
39.0,0.0012,0.0056,886,783
40.0,0.0196,0.005,837,503
41.0,0.0176,0.0063,797,594
42.0,0.0183,0.0055,834,627
44.0,0.0394,0.0066,770,607
45.0,0.036,0.0067,744,506
46.0,0.0201,0.0062,785,653
47.0,0.0118,0.0041,854,544
48.0,0.0115,0.0056,831,656
49.0,-0.0104,0.0045,835,682
50.0,0.0085,0.0036,841,506
51.0,0.001,0.0057,808,676
52.0,0.0181,0.0087,820,748
53.0,0.0135,0.0049,849,506
54.0,0.0098,0.0043,851,631
879.0,0.0112,0.0046,855,542
880.0,-0.0012,0.0042,855,504
881.0,0.0081,0.0047,848,609
882.0,0.0228,0.0058,847,690
55.0,0.0143,0.0166,745,724
56.0,-0.0059,0.0079,879,866
57.0,0.0137,0.0105,855,834
58.0,0.0232,0.0139,846,833
59.0,-0.0015,0.0089,771,747
60.0,0.0105,0.0072,864,812
61.0,0.004,0.0051,771,678
62.0,0.0103,0.0122,802,784
63.0,-0.0071,0.0058,786,723
64.0,0.0085,0.0095,875,838
65.0,0.0194,0.0075,907,810
66.0,0.0099,0.0039,866,634
67.0,0.0105,0.0095,939,399
68.0,0.0022,0.0036,838,475
69.0,-0.0098,0.0108,666,651
70.0,0.0012,0.0068,891,813
71.0,-0.0047,0.0081,910,849
72.0,0.0,0.0079,888,837
73.0,0.0351,0.0097,722,595
74.0,-0.0033,0.0071,917,851
75.0,0.0164,0.0051,849,628
76.0,0.0226,0.0051,827,559
77.0,-0.0007,0.0038,821,453
78.0,0.0136,0.0055,743,643
79.0,0.0075,0.01,478,442
80.0,0.0204,0.0037,819,622
82.0,0.0149,0.0045,745,505
83.0,0.0216,0.0048,715,476
84.0,0.0013,0.0043,847,730
85.0,0.0091,0.004,861,677
86.0,0.014,0.0046,774,574
87.0,0.0049,0.0028,822,505
88.0,0.0121,0.0065,670,305
89.0,0.0097,0.0038,841,588
865.0,0.0128,0.0034,799,545
866.0,0.016,0.0032,774,431
837.0,0.0106,0.0101,778,670
838.0,0.0241,0.013,830,747
840.0,0.0275,0.0072,714,504
841.0,0.034,0.0103,827,677
842.0,0.0098,0.012,834,807
844.0,-0.0169,0.0059,828,668
846.0,0.0053,0.0093,874,791
847.0,0.005,0.0126,813,767
100.0,-0.0037,0.0041,970,804
101.0,-0.0058,0.0035,891,651
102.0,0.0194,0.0038,775,590
103.0,0.0131,0.0043,912,699
104.0,0.0058,0.0029,887,515
105.0,0.0016,0.0033,761,389
106.0,-0.0036,0.0032,887,443
107.0,-0.0042,0.003,890,418
108.0,0.0108,0.0034,817,526
109.0,0.0115,0.003,961,467
110.0,-0.0018,0.0039,945,741
111.0,0.0133,0.0039,947,663
112.0,0.0089,0.0037,773,515
113.0,-0.0044,0.0033,887,660
114.0,0.027,0.0045,841,441
115.0,0.0171,0.004,728,395
116.0,0.0106,0.0035,808,521
117.0,0.0325,0.0052,872,630
118.0,0.011,0.0041,800,640
119.0,0.0102,0.0045,842,660
120.0,0.0062,0.0037,861,632
121.0,-0.0021,0.0036,933,474
122.0,0.0128,0.0041,873,723
123.0,0.0245,0.0053,822,698
124.0,0.0005,0.0028,928,382
125.0,0.0065,0.0036,927,288
126.0,0.0091,0.003,946,653
127.0,0.0177,0.0082,971,820
128.0,-0.0085,0.004,935,619
129.0,0.0017,0.0032,903,555
130.0,0.0194,0.0033,897,555
131.0,0.0013,0.0032,857,356
132.0,0.0176,0.005,966,357
134.0,0.0217,0.0052,946,279
136.0,0.0135,0.0051,874,345
137.0,-0.0031,0.0036,967,320
138.0,0.0007,0.0069,913,397
139.0,0.003,0.0054,925,246
141.0,0.0141,0.0109,588,124
142.0,0.0041,0.0065,922,171
143.0,0.0183,0.0047,881,180
144.0,0.0125,0.0037,924,306
145.0,0.0112,0.0034,844,455
146.0,0.0156,0.004,728,275
147.0,0.0069,0.0031,926,430
148.0,0.0023,0.0038,968,319
150.0,0.0146,0.0065,873,188
151.0,-0.0001,0.0049,896,185
152.0,-0.0038,0.0058,978,257
153.0,0.0252,0.0059,966,82
155.0,0.0167,0.0072,983,90
156.0,0.007,0.004,970,258
157.0,0.0317,0.0078,825,315
159.0,0.0139,0.0041,963,265
160.0,0.0177,0.0059,982,167
161.0,0.004,0.0041,963,268
162.0,0.0189,0.007,973,115
163.0,0.0177,0.0033,976,213
164.0,0.0085,0.003,968,441
165.0,0.0036,0.0046,969,173
166.0,0.0069,0.0058,938,248
167.0,0.0137,0.0042,954,129
168.0,0.0086,0.0046,969,262
169.0,0.0229,0.0043,906,136
170.0,0.0128,0.0045,956,156
171.0,0.0173,0.0029,938,231
172.0,0.0013,0.004,971,339
174.0,-0.0013,0.0102,898,82
175.0,0.0118,0.0064,836,112
176.0,0.0113,0.0036,963,213
182.0,0.0057,0.0072,972,53
183.0,0.0058,0.005,972,65
186.0,0.021,0.0087,957,52
187.0,-0.0001,0.0127,938,53
188.0,0.0273,0.0067,925,119
190.0,0.0244,0.0055,939,55
192.0,0.0415,0.0044,954,147
193.0,-0.0043,0.0071,952,72
194.0,0.0134,0.0056,970,52
195.0,0.0125,0.0074,961,74
196.0,0.0236,0.0047,925,104
197.0,0.0167,0.0066,920,213
198.0,-0.0003,0.0104,864,94
199.0,0.0068,0.0059,919,131
200.0,0.0172,0.0056,871,98
201.0,-0.0004,0.0038,944,304
202.0,-0.0062,0.0046,943,370
922.0,0.0048,0.0039,943,275
923.0,-0.0061,0.0057,660,191
924.0,0.0285,0.0047,969,376
925.0,0.005,0.0041,951,374
926.0,0.0034,0.0055,930,309
927.0,0.0041,0.0034,968,236
928.0,0.0099,0.0048,961,256
929.0,0.0011,0.0054,944,391
205.0,0.0054,0.0057,941,93
210.0,0.0,0.0042,928,133
211.0,0.0012,0.0038,896,98
212.0,0.0151,0.0029,887,143
214.0,-0.032,0.0231,901,56
215.0,-0.0114,0.0119,909,57
