district_code,state_name,region,n_households,observed_disruption,expected_disruption,rgi,rgi_ci_lower,rgi_ci_upper,rgi_category,typology,piped_coverage,tube_well_coverage,mean_idi,mean_idi_ci_lower,mean_idi_ci_upper,piped_disruption_rate,tube_well_disruption_rate,paradox_ratio,mean_wealth_score,pct_urban,pct_monsoon
1.0,Jammu & Kashmir,North,821,37.21,29.79,7.42,6.19,9.11,Moderate Failure,CRISIS,82.25,6.41,61.08,52.63,69.76,41.88,18.66,2.24,128384.12,16.25,0.43
2.0,Jammu & Kashmir,North,888,31.35,29.46,1.9,0.33,3.79,As Expected,CRISIS,93.59,2.46,64.25,55.46,73.04,32.27,17.2,1.88,403492.21,16.75,0.0
3.0,Ladakh,North,824,20.54,30.45,-9.91,-11.84,-7.61,Outperforming,VULNERABLE,75.39,18.62,53.49,45.52,62.08,23.01,11.03,2.09,357686.28,26.66,1.0
4.0,Ladakh,North,767,15.75,28.9,-13.15,-14.93,-10.85,Outperforming,VULNERABLE,65.61,27.5,52.67,45.1,61.04,21.69,2.34,9.25,-336666.98,8.76,1.0
5.0,Jammu & Kashmir,North,614,21.59,27.09,-5.5,-7.27,-3.53,Outperforming,VULNERABLE,85.97,9.59,60.67,52.15,69.35,24.33,5.14,4.73,416034.25,10.5,0.0
6.0,Jammu & Kashmir,North,591,27.4,26.12,1.28,-0.59,3.17,As Expected,CRISIS,72.56,12.9,51.32,43.43,59.86,28.4,8.49,3.34,369638.12,8.1,0.0
7.0,Jammu & Kashmir,North,841,35.24,26.84,8.4,6.44,10.45,Moderate Failure,CRISIS,81.45,14.85,53.98,45.86,62.58,39.52,17.55,2.25,816012.25,18.36,0.25
10.0,Jammu & Kashmir,North,883,25.79,24.04,1.74,-1.29,4.78,As Expected,CRISIS,89.37,0.0,58.13,49.37,66.94,26.44,,,882966.3,99.61,0.02
11.0,Jammu & Kashmir,North,849,45.03,35.18,9.85,7.83,12.47,Moderate Failure,CRISIS,94.77,0.75,67.57,58.61,76.39,46.04,,,248049.76,17.33,0.98
12.0,Jammu & Kashmir,North,875,21.05,26.71,-5.66,-7.85,-3.31,Outperforming,VULNERABLE,85.19,11.82,58.18,49.76,66.95,21.88,16.19,1.35,529570.37,5.1,0.0
13.0,Jammu & Kashmir,North,903,34.79,30.02,4.77,2.59,7.17,As Expected,CRISIS,97.96,1.88,66.83,57.83,75.75,35.52,0.0,,420537.01,5.75,0.0
14.0,Jammu & Kashmir,North,890,33.19,27.58,5.61,4.31,7.05,Moderate Failure,CRISIS,92.69,3.47,63.35,54.47,72.26,33.81,17.47,1.94,443889.12,30.61,0.0
15.0,Jammu & Kashmir,North,862,34.06,27.3,6.76,5.19,8.17,Moderate Failure,CRISIS,89.89,8.7,66.38,57.74,75.06,34.88,28.85,1.21,24300.64,20.61,0.0
16.0,Jammu & Kashmir,North,618,15.65,33.15,-17.5,-19.35,-15.23,Outperforming,VULNERABLE,97.11,0.15,71.63,62.58,80.37,15.12,,,49607.19,9.94,0.54
17.0,Jammu & Kashmir,North,564,26.3,29.25,-2.95,-4.97,-0.93,As Expected,VULNERABLE,89.73,3.65,69.94,61.25,78.54,27.97,5.46,5.12,-272664.65,3.89,0.03
18.0,Jammu & Kashmir,North,726,43.52,31.72,11.8,10.03,14.04,Severe Failure,CRISIS,87.12,4.36,64.7,56.08,73.37,45.55,31.92,1.43,81060.46,7.49,0.65
19.0,Jammu & Kashmir,North,665,24.82,28.64,-3.82,-5.28,-2.07,As Expected,VULNERABLE,83.87,4.57,56.69,48.43,65.31,28.71,6.63,4.33,568329.78,21.33,0.05
20.0,Jammu & Kashmir,North,724,19.23,27.84,-8.62,-10.15,-7.06,Outperforming,VULNERABLE,75.38,2.58,57.96,49.64,66.6,19.58,5.03,3.89,52836.77,10.65,0.03
21.0,Jammu & Kashmir,North,886,21.08,19.63,1.45,-0.18,3.11,As Expected,RESILIENT POOR,65.67,30.37,44.35,37.03,52.71,25.48,12.21,2.09,1124730.88,45.66,0.0
22.0,Jammu & Kashmir,North,855,27.66,23.49,4.16,1.52,6.69,As Expected,CRISIS,71.18,22.52,47.41,39.75,55.88,36.04,8.23,4.38,901886.11,5.89,0.0
23.0,Himachal Pradesh,North,724,21.74,33.55,-11.82,-13.87,-9.31,Outperforming,VULNERABLE,92.33,2.85,66.27,57.39,75.13,22.82,0.0,,254361.18,8.03,0.75
24.0,Himachal Pradesh,North,859,32.47,31.13,1.34,-1.4,4.47,As Expected,CRISIS,79.42,18.79,53.97,45.9,62.55,35.5,20.17,1.76,664914.67,5.02,1.0
25.0,Himachal Pradesh,North,761,5.04,34.4,-29.36,-31.69,-26.61,Outperforming,VULNERABLE,88.16,3.2,66.2,57.35,75.01,5.39,0.0,,-77303.34,0.0,0.99
26.0,Himachal Pradesh,North,813,27.68,35.7,-8.02,-10.16,-5.13,Outperforming,VULNERABLE,95.19,1.19,67.3,58.43,76.1,28.51,,,309500.15,11.08,1.0
27.0,Himachal Pradesh,North,804,34.16,34.73,-0.56,-3.02,2.39,As Expected,CRISIS,93.37,4.69,63.72,54.92,72.55,36.23,7.15,5.06,503797.53,12.03,1.0
28.0,Himachal Pradesh,North,792,37.87,32.94,4.93,2.21,8.11,As Expected,CRISIS,85.65,9.73,57.07,48.65,65.8,42.96,3.77,11.4,719363.65,7.66,1.0
29.0,Himachal Pradesh,North,816,23.79,33.57,-9.78,-12.63,-6.6,Outperforming,VULNERABLE,90.24,8.42,57.89,49.44,66.59,25.29,10.14,2.49,902898.4,12.8,1.0
30.0,Himachal Pradesh,North,705,31.34,27.9,3.44,0.87,6.16,As Expected,CRISIS,67.99,29.95,46.64,39.11,55.15,43.08,5.79,7.43,673990.89,10.08,1.0
31.0,Himachal Pradesh,North,709,26.66,26.44,0.23,-1.26,1.79,As Expected,CRISIS,86.84,7.74,58.24,49.74,66.98,29.47,3.74,7.88,872037.05,34.04,0.0
32.0,Himachal Pradesh,North,826,21.44,26.85,-5.41,-7.37,-3.38,Outperforming,VULNERABLE,87.7,7.86,59.56,50.96,68.32,23.32,5.89,3.96,658381.7,14.33,0.0
33.0,Himachal Pradesh,North,834,22.57,28.72,-6.15,-7.46,-4.75,Outperforming,VULNERABLE,97.86,0.43,65.85,56.86,74.72,23.06,,,596033.14,37.71,0.0
34.0,Himachal Pradesh,North,832,17.78,35.57,-17.79,-20.23,-14.79,Outperforming,VULNERABLE,96.8,0.42,70.43,61.33,79.34,18.24,,,177176.88,0.0,0.9
36.0,Punjab,North,847,14.86,23.6,-8.74,-10.7,-6.7,Outperforming,VULNERABLE,79.3,18.64,51.21,43.32,59.73,18.07,2.84,6.36,1198928.49,35.28,0.0
37.0,Punjab,North,866,14.08,25.34,-11.26,-13.14,-9.59,Outperforming,VULNERABLE,88.79,11.08,55.22,46.99,63.82,13.75,15.77,0.87,1310669.17,53.28,0.0
38.0,Punjab,North,882,17.68,26.08,-8.4,-10.93,-5.94,Outperforming,VULNERABLE,86.56,13.11,54.52,46.39,63.09,18.85,9.49,1.99,1241773.76,22.37,0.0
39.0,Punjab,North,886,18.53,26.83,-8.3,-10.83,-5.79,Outperforming,VULNERABLE,88.59,11.07,55.4,47.17,64.0,18.82,15.77,1.19,1194888.06,19.77,0.0
40.0,Punjab,North,837,12.05,18.51,-6.46,-8.56,-4.41,Outperforming,SAFE,60.26,39.02,41.99,34.99,50.22,15.71,6.63,2.37,1200736.51,32.44,0.0
41.0,Punjab,North,797,12.53,21.16,-8.63,-10.42,-6.96,Outperforming,VULNERABLE,74.18,25.5,49.12,41.52,57.57,14.51,6.9,2.1,1151887.98,58.58,0.0
42.0,Punjab,North,834,14.25,22.74,-8.49,-10.61,-6.54,Outperforming,VULNERABLE,74.42,23.5,49.1,41.38,57.61,16.3,8.58,1.9,1025091.81,24.09,0.0
44.0,Punjab,North,770,28.87,24.38,4.49,2.76,6.25,As Expected,CRISIS,78.93,11.74,52.77,44.56,61.4,34.83,5.3,6.57,898575.71,27.18,0.0
45.0,Punjab,North,744,15.78,22.37,-6.6,-8.11,-5.06,Outperforming,VULNERABLE,67.33,22.24,47.14,39.63,55.53,20.93,3.61,5.8,926996.94,38.08,0.0
46.0,Punjab,North,785,21.63,24.81,-3.18,-4.74,-1.51,As Expected,VULNERABLE,83.34,11.3,54.9,46.64,63.51,24.52,7.53,3.26,959994.25,36.13,0.0
47.0,Punjab,North,854,15.63,20.24,-4.61,-6.27,-3.09,As Expected,VULNERABLE,64.14,28.02,45.85,38.34,54.29,18.71,8.96,2.09,754111.18,24.64,0.0
48.0,Punjab,North,831,13.8,23.21,-9.42,-11.13,-7.84,Outperforming,VULNERABLE,80.26,19.02,51.63,43.73,60.13,14.74,10.33,1.43,1187931.48,50.8,0.0
49.0,Punjab,North,835,16.98,23.35,-6.37,-8.04,-4.85,Outperforming,VULNERABLE,81.42,17.56,52.08,44.13,60.62,15.32,22.12,0.69,1180969.55,54.23,0.0
50.0,Punjab,North,841,17.41,19.71,-2.3,-4.16,-0.38,As Expected,SAFE,59.64,37.31,42.51,35.46,50.85,19.57,14.49,1.35,757442.06,17.26,0.0
51.0,Punjab,North,808,12.67,24.78,-12.11,-14.24,-10.1,Outperforming,VULNERABLE,81.88,17.38,52.36,44.39,60.9,13.24,9.56,1.39,1136069.06,27.26,0.0
52.0,Punjab,North,820,15.72,25.81,-10.09,-12.07,-8.43,Outperforming,VULNERABLE,91.42,7.9,56.97,48.59,65.62,16.55,7.5,2.21,1370406.58,57.71,0.0
