water_source,Dim A: Source Risk,Dim B: Access Complexity,Dim C: Piped Coping Deficit,IDI Composite (0–100)
Piped — Neighbour/Shared,3.0,3.0,1.936,80.042
Piped — Public Tap/Standpipe,3.0,1.603,1.786,72.687
Piped — Yard/Plot,3.0,3.0,1.376,71.59
Piped — Into Dwelling,3.0,3.0,0.635,60.407
Cart with Small Tank,2.0,2.409,0.0,37.175
Tanker Truck,2.0,2.281,0.0,36.708
Bottled Water,2.0,2.127,0.0,36.134
Protected Well,1.0,2.981,0.0,26.24
Protected Spring,1.0,2.857,0.0,25.781
Community RO Plant,1.0,2.479,0.0,24.387
Unprotected Well,0.0,2.978,0.0,14.737
Surface Water (river/lake/canal),0.0,2.844,0.0,14.244
Unprotected Spring,0.0,2.762,0.0,13.94
Other Source,0.0,2.726,0.0,13.805
Tube Well/Borehole,0.0,2.208,0.0,11.931
