,Water Source,Type,n (HH),Weighted N (000s),Disruption %,95% CI,RR vs Tube Well
0,── All Piped (combined) ──,Piped combined,309882,304.5,25.5,25.3–25.7,2.43
1,Piped — Yard/Plot,Piped sub-type,97138,85.8,29.7,29.2–30.2,2.83
2,Tanker Truck,Non-piped,4660,4.5,26.2,24.5–27.9,2.5
3,Piped — Neighbour/Shared,Piped sub-type,10689,10.3,26.1,24.9–27.3,2.49
4,Piped — Public Tap/Standpipe,Piped sub-type,80176,84.9,23.9,23.5–24.3,2.28
5,Piped — Into Dwelling,Piped sub-type,121879,123.5,23.6,23.2–24.0,2.25
6,Surface Water (river/lake/canal),Non-piped,3030,2.0,23.3,21.1–25.5,2.22
7,Protected Spring,Non-piped,3255,1.2,22.9,20.4–25.4,2.18
8,Unprotected Spring,Non-piped,2324,0.6,19.8,16.8–22.8,1.89
9,Other Source,Non-piped,1145,1.1,18.1,14.9–21.3,1.72
10,Community RO Plant,Non-piped,4610,4.9,17.7,16.2–19.2,1.69
11,Protected Well,Non-piped,17088,17.5,16.8,16.1–17.5,1.6
12,Cart with Small Tank,Non-piped,883,1.0,15.3,11.7–18.9,1.46
13,Unprotected Well,Non-piped,10159,7.3,13.3,12.4–14.2,1.27
14,Bottled Water,Non-piped,8839,13.0,10.7,9.8–11.6,1.02
15,Tube Well/Borehole,Reference,212187,229.2,10.5,10.3–10.7,1.0
