district_code,state_name,rgi,rgi_ci_lower,rgi_ci_upper,observed_disruption,piped_coverage,mean_idi,paradox_ratio,n_households
851.0,Gujarat,42.7,40.8,44.8,72.2,78.6,56.8,3.9,856
478.0,Gujarat,38.5,36.6,40.5,69.7,87.7,59.3,1.8,861
582.0,Karnataka,36.0,35.0,37.1,55.7,58.4,48.6,1.2,655
853.0,Gujarat,30.6,28.8,32.8,64.6,89.8,62.9,1.6,869
802.0,Arunachal Pradesh,28.7,26.2,31.1,59.5,99.5,74.3,,515
499.0,Maharashtra,27.6,25.9,29.8,59.1,82.5,59.9,1.1,801
855.0,Gujarat,27.3,25.7,28.8,53.5,91.2,59.3,0.8,900
245.0,Arunachal Pradesh,26.6,24.6,28.7,56.9,99.9,70.7,,903
501.0,Maharashtra,26.2,24.4,28.3,56.9,82.2,58.9,1.9,885
243.0,Sikkim,26.1,24.9,27.5,54.2,88.1,64.5,,874
805.0,Arunachal Pradesh,25.3,23.3,27.3,54.5,78.9,62.8,3.3,676
581.0,Karnataka,24.7,23.3,26.0,43.4,49.3,47.6,0.8,567
859.0,Gujarat,24.1,22.8,25.4,46.0,71.8,58.3,1.2,791
579.0,Karnataka,23.7,21.9,25.7,51.6,67.3,52.5,1.4,827
524.0,Maharashtra,23.4,21.7,25.4,48.0,56.0,45.0,1.2,793
522.0,Maharashtra,23.4,21.5,25.6,53.3,71.6,53.0,2.9,765
639.0,Andaman & Nicobar,23.2,21.0,25.6,53.5,93.9,67.7,,820
270.0,Nagaland,23.1,21.2,25.0,46.7,69.8,55.9,4.5,693
525.0,Maharashtra,22.6,21.4,24.3,46.4,59.2,45.4,2.6,784
863.0,Gujarat,22.6,20.7,24.8,54.8,85.1,61.5,0.9,809
